YEAR,VISITORS11,VISITORS2,BEGIN,END
2004,489230,510000,2004-03-18,2004-03-24
2005,474100,480000,2005-03-10,2005-03-16
2006,434000,450000,2006-03-09,2006-03-15
2007,479700,480000,2007-03-15,2007-03-21
2008,495000,495000,2008-03-04,2008-03-09
2009,400000,400000,2009-03-03,2009-03-08
2010,334000,334000,2010-03-02,2010-03-06
2011,339000,339000,2011-03-01,2011-03-05
2012,312000,312000,2012-03-06,2012-03-10
2013,285000,280000,2013-03-05,2013-03-09
2014,208000,210000,2014-03-10,2014-03-14
2015,221000,221000,2015-03-16,2015-03-20
2016,,,2016-03-14,2016-03-18
